-----  --------  ----------------
Place  Currency  Users [millions]
-----  --------  ----------------
1      CNY       1367.11
2      INR       1264.69
3      USD       374.39
4      EUR       344.29
5      USS       319.26
6      USN       319.26
7      IDR       252.16
8      BRL       203.59
9      PKR       188.41
10     NGN       178.52
11     BDT       157.49
12     RUB       146.23
13     JPY       127.08
14     MXN       119.71
15     XOF       106.29
16     PHP       100.7
17     VND       89.71
18     ETB       87.95
19     EGP       87.67
20     IRR       77.97
21     TRY       76.67
22     CDF       69.36
23     THB       64.87
24     GBP       64.35
25     MMK       61.12
26     ZAR       58.21
27     KRW       50.42
28     COP       47.91
29     TZS       47.42
30     XAF       46.01
31     UAH       42.97
32     ARS       42.67
33     KES       41.8
34     DZD       39.29
35     PLN       38.5
36     SDG       37.29
37     IQD       36.0
38     CAD       35.54
39     UGX       34.86
40     MAD       34.05
41     PEN       30.81
42     SAR       30.77
43     UZS       30.49
44     MYR       30.43
45     VEF       30.21
46     NPR       27.65
47     GHS       27.04
48     AFN       26.02
49     YER       25.96
50     MZN       25.04
51     KPW       25.03
52     AOA       24.38
53     AUD       23.83
54     TWD       23.42
55     SYP       22.96
56     MGA       21.84
57     LKR       20.28
58     RON       19.94
59     CLP       17.82
60     CLF       17.82
61     KZT       17.38
62     GTQ       15.81
63     MWK       15.81
64     KHR       15.18
65     ZMK       15.02
66     ILS       12.82
67     SSP       11.38
68     CUC       11.21
69     CUP       11.21
70     RWF       11.0
71     TND       10.98
72     SOS       10.81
73     HTG       10.75
74     GNF       10.63
75     CZK       10.52
76     DOP       10.38
77     BOV       10.03
78     BOB       10.03
79     HUF       9.88
80     SEK       9.74
81     AZN       9.55
82     BIF       9.53
83     BYR       9.48
84     AED       9.45
85     HNL       8.73
86     CHF       8.22
87     CHE       8.18
88     CHW       8.18
89     TJS       8.16
90     PGK       7.4
91     BGN       7.25
92     HKD       7.23
93     RSD       7.15
94     PYG       6.89
95     LAK       6.69
96     JOD       6.67
97     ERN       6.54
98     SVC       6.4
99     LYD       6.25
100    SLL       6.21
-----  --------  ----------------
